equipment_type,manufacturer,condition,age_years,operating_hours,original_value,listing_price,location,seller_type,has_maintenance_records,has_warranty,photos_count,description_length,listing_month,price_to_original_ratio,hours_per_year,time_to_sale_days
Dump Truck,Generic,Fair,8.3,19769,262169,71756,Nevada USA,Equipment Dealer,True,False,6,212,1,0.274,2381,11.4
Dump Truck,Caterpillar,Needs Repair,3.1,7060,477594,143818,Alberta Canada,Mining Company,True,True,8,170,8,0.301,2263,39.1
Conveyor System,Caterpillar,Fair,4.0,24218,1466905,591360,South Africa,Mining Company,False,False,15,106,11,0.403,6072,26.1
Wheel Loader,Hitachi,Fair,21.9,52456,373115,38700,Alberta Canada,Mining Company,True,True,12,69,3,0.104,2399,14.1
Wheel Loader,Komatsu,Good,20.1,37475,354808,52559,Alberta Canada,Construction Company,False,False,10,184,1,0.148,1869,13.7
Dump Truck,Hitachi,Fair,1.1,3188,367446,190668,New South Wales,Rental Company,True,True,6,241,5,0.519,3019,21.1
Excavator,Liebherr,Good,1.4,2468,575837,363585,Queensland,Equipment Dealer,True,False,10,178,3,0.631,1734,29.1
Wheel Loader,Caterpillar,Good,3.1,7305,333983,201580,South Africa,Mining Company,False,True,10,213,3,0.604,2392,36.1
Crusher,JCB,Good,18.5,89570,892433,151321,Alberta Canada,Mining Company,True,False,9,133,8,0.17,4842,17.6
Wheel Loader,Liebherr,Excellent,4.7,8822,315954,210915,Nevada USA,Mining Company,True,False,10,199,6,0.668,1890,23.6
Excavator,JCB,Good,25.0,63909,487865,43634,Nevada USA,Mining Company,True,True,9,157,8,0.089,2556,7.0
Wheel Loader,Komatsu,Good,14.3,37207,422033,104363,Queensland,Equipment Dealer,True,False,4,122,3,0.247,2609,25.9
Bulldozer,Caterpillar,Good,1.2,1623,704521,462864,Alberta Canada,Equipment Dealer,True,False,9,195,10,0.657,1300,21.9
Excavator,Generic,Fair,10.5,19900,312954,72707,Queensland,Mining Company,True,True,9,166,4,0.232,1891,13.4
Excavator,Hitachi,Fair,4.4,8615,476959,180353,Chile,Equipment Dealer,True,True,9,232,2,0.378,1958,18.6
Excavator,Hitachi,Fair,8.9,21143,477267,128699,Nevada USA,Mining Company,True,True,4,244,2,0.27,2385,13.7
Bulldozer,Volvo,Good,23.1,30048,528079,63253,Alberta Canada,Rental Company,True,False,14,174,1,0.12,1302,17.7
Conveyor System,Hitachi,Good,25.0,165909,1191610,110990,Nevada USA,Rental Company,True,False,11,244,6,0.093,6636,19.8
Wheel Loader,Caterpillar,Fair,10.8,17792,320231,85676,Nevada USA,Mining Company,True,False,11,199,12,0.268,1647,17.5
Crusher,Volvo,Fair,3.2,11918,832512,351516,Western Australia,Equipment Dealer,True,False,5,224,9,0.422,3761,28.3
Dump Truck,Generic,Fair,4.9,16718,354495,154601,Chile,Rental Company,True,False,9,104,12,0.436,3427,33.4
Excavator,Caterpillar,Needs Repair,5.3,11141,630542,148452,Chile,Equipment Dealer,False,True,7,194,1,0.235,2097,31.0
Excavator,Volvo,Good,12.1,30168,488593,139799,Queensland,Rental Company,False,True,9,212,11,0.286,2496,25.9
Crusher,Generic,Excellent,13.6,57145,634892,181609,Nevada USA,Equipment Dealer,True,False,4,113,2,0.286,4216,24.8
Bulldozer,Hitachi,Good,8.8,19250,613500,205576,Western Australia,Mining Company,True,True,8,218,8,0.335,2191,10.8
Crusher,Liebherr,Needs Repair,8.4,27930,993270,191599,Queensland,Mining Company,True,True,7,226,11,0.193,3337,44.6
Excavator,Caterpillar,Fair,12.0,19514,477219,102250,Chile,Mining Company,True,False,6,224,2,0.214,1621,22.7
Bulldozer,Caterpillar,Good,4.8,6138,579591,274749,Queensland,Mining Company,True,True,12,211,11,0.474,1282,24.3
Wheel Loader,Caterpillar,Excellent,2.3,4339,331881,230590,Chile,Rental Company,False,True,7,200,9,0.695,1865,27.0
Bulldozer,Komatsu,Fair,2.8,6538,648460,288679,Alberta Canada,Mining Company,True,True,7,157,12,0.445,2305,21.4
Wheel Loader,Caterpillar,Excellent,1.0,1731,379878,320633,New South Wales,Mining Company,True,False,10,217,3,0.844,1694,27.9
Crusher,Volvo,Good,4.6,22347,803862,438465,South Africa,Mining Company,False,False,9,86,3,0.545,4905,65.3
Excavator,Hitachi,Fair,7.1,17554,501947,155013,Western Australia,Equipment Dealer,False,False,8,313,8,0.309,2473,13.0
Excavator,Volvo,Fair,9.2,20538,480575,127260,Nevada USA,Equipment Dealer,False,False,8,243,12,0.265,2233,15.1
Wheel Loader,JCB,Fair,2.3,5347,316977,154304,Nevada USA,Equipment Dealer,True,False,7,147,9,0.487,2301,19.6
Excavator,Hitachi,Fair,2.0,3739,515433,284594,South Africa,Equipment Dealer,True,False,7,188,6,0.552,1897,31.6
Excavator,Liebherr,Needs Repair,5.9,12236,566405,139330,Western Australia,Equipment Dealer,True,False,12,123,3,0.246,2069,52.1
Excavator,JCB,Needs Repair,4.7,8173,452124,119599,South Africa,Construction Company,False,False,11,243,8,0.265,1725,42.9
Conveyor System,JCB,Excellent,5.2,27756,951638,571263,Western Australia,Equipment Dealer,True,True,10,136,2,0.6,5366,47.3
Excavator,Generic,Fair,2.0,4096,429893,217589,Western Australia,Mining Company,True,False,12,200,5,0.506,2079,41.4
Crusher,Caterpillar,Excellent,2.2,10801,1103574,844434,Alberta Canada,Rental Company,True,False,10,241,8,0.765,4960,37.7
Bulldozer,Volvo,Needs Repair,11.6,17236,443610,64507,New South Wales,Rental Company,False,False,11,185,1,0.145,1492,27.3
Conveyor System,Komatsu,Good,7.2,53200,1508188,656130,South Africa,Mining Company,False,False,10,102,7,0.435,7343,32.5
Conveyor System,Generic,Needs Repair,6.1,44864,1092307,252321,Queensland,Equipment Dealer,True,False,14,189,2,0.231,7303,49.7
Crusher,Liebherr,Needs Repair,13.8,71832,827451,110079,Nevada USA,Rental Company,True,False,8,107,2,0.133,5195,35.7
Excavator,Caterpillar,Needs Repair,5.5,10173,578804,138508,Queensland,Mining Company,False,True,13,194,10,0.239,1861,19.1
Dump Truck,Caterpillar,Needs Repair,18.2,68683,546271,44714,Queensland,Rental Company,True,False,11,170,10,0.082,3770,22.6
Wheel Loader,Liebherr,Excellent,5.2,10566,318173,193903,Queensland,Mining Company,True,False,12,255,11,0.609,2032,19.5
Wheel Loader,Hitachi,Fair,10.1,23846,352348,84718,New South Wales,Mining Company,False,False,6,278,2,0.24,2357,26.2
Wheel Loader,Generic,Fair,3.4,8097,260095,124042,Chile,Equipment Dealer,True,True,10,238,6,0.477,2377,27.9
Excavator,JCB,Needs Repair,25.0,57490,364245,19056,South Africa,Construction Company,True,False,4,194,3,0.052,2300,18.3
Excavator,Hitachi,Fair,3.0,4490,482490,232477,New South Wales,Rental Company,False,False,11,218,2,0.482,1499,34.1
Bulldozer,Generic,Good,17.2,36177,461081,87820,Alberta Canada,Mining Company,True,False,6,282,9,0.19,2099,20.8
Bulldozer,Caterpillar,Good,3.5,7439,576666,319959,Nevada USA,Equipment Dealer,True,False,9,200,4,0.555,2121,19.0
Crusher,JCB,Excellent,7.1,34981,633083,335310,Queensland,Rental Company,True,True,9,291,2,0.53,4918,28.3
Crusher,Liebherr,Good,9.6,39827,914312,324111,South Africa,Construction Company,True,False,5,184,4,0.354,4127,39.1
Crusher,Komatsu,Excellent,2.4,6871,976401,694635,Western Australia,Equipment Dealer,True,True,10,244,2,0.711,2850,36.4
Bulldozer,Komatsu,Fair,6.3,13957,693848,241641,Queensland,Equipment Dealer,False,True,11,165,6,0.348,2203,21.0
Dump Truck,Liebherr,Good,8.2,19611,399789,165678,Queensland,Equipment Dealer,False,True,10,192,12,0.414,2394,12.6
Excavator,Caterpillar,Excellent,11.7,25627,534520,194376,Alberta Canada,Mining Company,True,False,6,207,5,0.364,2197,12.9
Dump Truck,Liebherr,Excellent,2.3,8855,495768,332285,Queensland,Mining Company,True,False,7,163,7,0.67,3876,27.9
Dump Truck,JCB,Good,10.4,37665,425202,138460,Queensland,Construction Company,True,False,13,240,9,0.326,3609,14.2
Dump Truck,Caterpillar,Fair,12.6,47424,444723,100878,Nevada USA,Mining Company,False,False,4,145,5,0.227,3766,15.6
Bulldozer,Liebherr,Good,5.7,7275,591920,257660,Chile,Equipment Dealer,True,False,7,272,11,0.435,1276,12.1
Crusher,Volvo,Needs Repair,1.1,3751,674541,252435,Alberta Canada,Equipment Dealer,False,False,8,203,10,0.374,3270,62.8
Wheel Loader,Caterpillar,Good,2.0,3629,411820,243956,Nevada USA,Rental Company,True,True,9,327,10,0.592,1779,21.2
Dump Truck,JCB,Fair,7.5,19219,332418,111606,Alberta Canada,Equipment Dealer,True,False,9,202,11,0.336,2560,18.3
Dump Truck,Liebherr,Good,25.0,58640,450628,41227,Chile,Equipment Dealer,True,False,8,257,1,0.091,2346,17.6
Dump Truck,Caterpillar,Good,1.6,5524,407429,270447,Chile,Mining Company,True,False,6,199,6,0.664,3541,32.5
Conveyor System,Caterpillar,Fair,2.8,17127,1207686,568301,Alberta Canada,Rental Company,True,False,12,174,6,0.471,6129,48.4
Excavator,Caterpillar,Good,4.3,8068,506806,250786,Western Australia,Rental Company,True,False,13,213,4,0.495,1857,26.5
Dump Truck,Caterpillar,Good,3.0,11565,469323,297197,Queensland,Construction Company,True,False,10,203,12,0.633,3823,40.6
Bulldozer,Komatsu,Excellent,9.2,13726,626605,269925,New South Wales,Equipment Dealer,True,False,8,162,1,0.431,1493,14.4
Conveyor System,Hitachi,Fair,3.9,25302,1212980,516889,South Africa,Equipment Dealer,False,False,9,268,7,0.426,6446,35.5
Bulldozer,Caterpillar,Excellent,3.2,7423,699264,525894,Alberta Canada,Rental Company,True,True,8,222,10,0.752,2314,38.3
Crusher,Generic,Fair,4.0,17946,624026,254400,Queensland,Rental Company,False,True,12,240,3,0.408,4452,48.6
Conveyor System,Volvo,Good,3.8,20820,1398425,787745,Alberta Canada,Construction Company,True,False,9,189,7,0.563,5459,41.5
Conveyor System,Hitachi,Good,25.0,159169,1239563,121354,Alberta Canada,Equipment Dealer,True,True,7,216,3,0.098,6367,15.1
Wheel Loader,Caterpillar,Fair,16.8,44664,448347,62959,Nevada USA,Mining Company,True,False,7,286,5,0.14,2657,19.6
Crusher,Caterpillar,Good,15.7,71553,976219,201374,New South Wales,Construction Company,True,False,7,241,8,0.206,4559,15.3
Crusher,Volvo,Good,11.8,56358,878633,254569,Nevada USA,Rental Company,True,False,12,278,6,0.29,4756,15.5
Dump Truck,Komatsu,Fair,1.0,3298,411740,240137,Alberta Canada,Equipment Dealer,True,False,6,326,12,0.583,3215,29.4
Bulldozer,Caterpillar,Excellent,4.3,8967,675837,451220,New South Wales,Mining Company,True,True,10,261,6,0.668,2108,28.2
Wheel Loader,Volvo,Needs Repair,2.8,6436,400465,118198,New South Wales,Mining Company,True,False,11,144,7,0.295,2287,28.8
Conveyor System,Hitachi,Excellent,1.5,7375,1023048,797923,Alberta Canada,Mining Company,True,False,4,218,6,0.78,5011,42.0
Crusher,Caterpillar,Good,16.3,47586,1005965,195507,Nevada USA,Rental Company,True,False,8,122,10,0.194,2912,17.9
Excavator,Volvo,Good,4.3,7618,556990,319074,Nevada USA,Mining Company,True,True,9,219,6,0.573,1770,34.9
Dump Truck,Caterpillar,Fair,2.9,6708,522026,243012,South Africa,Equipment Dealer,True,True,8,258,8,0.466,2276,14.2
Wheel Loader,Caterpillar,Good,24.4,55721,422512,41753,Queensland,Equipment Dealer,True,False,12,218,7,0.099,2279,13.5
Excavator,JCB,Good,5.7,11895,370392,175924,Nevada USA,Rental Company,False,True,8,163,12,0.475,2069,23.4
Dump Truck,Generic,Good,2.0,6963,282478,196409,Queensland,Rental Company,True,True,6,160,4,0.695,3405,40.9
Excavator,Hitachi,Needs Repair,19.5,42604,416531,31102,Chile,Equipment Dealer,False,False,7,281,6,0.075,2182,20.5
Crusher,Hitachi,Good,1.3,5731,674030,438521,Alberta Canada,Rental Company,True,True,7,170,5,0.651,4574,36.7
Conveyor System,JCB,Fair,13.4,88532,1030691,218317,New South Wales,Mining Company,True,True,8,198,6,0.212,6594,21.1
Crusher,Caterpillar,Needs Repair,12.2,57814,774915,122268,South Africa,Rental Company,True,False,6,115,5,0.158,4732,46.7
Dump Truck,Volvo,Excellent,19.7,71430,425782,75801,Western Australia,Equipment Dealer,False,False,10,286,9,0.178,3634,10.2
Crusher,JCB,Good,6.8,26177,704352,295004,South Africa,Equipment Dealer,True,False,9,155,9,0.419,3833,16.7
